id,start,first_token,end,status
cda4fcd3-d798-4724-9dd2-78de778d442b,48683.828,48684.234,48693.89,200
43aed4db-4621-429d-8707-3974fc85cd97,48693.89,48694.453,48729.312,200
e56e2a97-4c04-4766-a235-dae25cb63c6b,48729.328,48729.843,48765.859,200
a87763e5-5a93-44e3-aaac-6e9af648121f,48765.859,48766.375,48802.984,200
a4acd47a-0ca5-44f5-a033-e500e47e3bb5,48802.984,48803.515,48840.656,200
a835b0c6-1f5e-4a3d-bfbb-841f79327c84,48840.656,48841.203,48859.484,200
8b4cf72b-282a-4a5d-b573-6934d515e2da,48859.5,48860.109,48874.531,200
806ae027-7599-4354-88b5-c629ee4520e5,48874.546,48875.093,48886.015,200
0bb652c0-921d-4c76-bfda-04518e1a4c05,48886.031,48886.64,48924.593,200
3243b089-5714-45d7-adf3-a5df5fd723f1,48924.609,48925.218,48963.218,200
5dcece1a-0333-4f80-9dcd-edb7c441be29,48683.812,48684.234,48719.578,200
222daabc-71e3-42aa-837f-f7295adad6e4,48719.609,48720.156,48756.593,200
ceb0fef9-03c8-4c92-9a62-91de587c93a7,48756.609,48757.031,48793.203,200
a87941ed-0dd4-4169-a03b-b230f8566305,48793.218,48793.812,48829.968,200
e20f5b9b-493b-460a-9825-de7c206bae0d,48829.984,48830.656,48833.468,200
647e6167-8f2e-41ba-bde0-74e84abfd830,48833.484,48834.109,48871.656,200
d2707114-07f3-41fc-811b-f84636f4c037,48871.687,48872.375,48910.515,200
934731e9-8ae5-4633-b83e-7b509f8a2229,48910.515,48911.015,48949.0,200
75fba301-20a2-4f09-b5da-54615688fa14,48949.015,48949.515,48969.156,200
f2d9f69f-37fd-430e-be36-530047c60e12,48969.171,48969.812,48985.062,200
fee87c0b-b249-4fa2-9da8-bec17bdd7144,48683.828,48684.406,48688.343,200
68de60b9-2059-4eeb-8aab-bd884a8abade,48688.406,48688.984,48724.078,200
40b4ed62-45b7-4343-8f4e-d45fe69bd522,48724.093,48724.734,48747.14,200
419018c9-7eac-4ae6-83f5-178d86b426cc,48747.14,48747.796,48783.109,200
ec835781-5d25-4095-a463-914e4b6f3cbf,48783.125,48783.89,48820.218,200
62ac6eda-4efd-4ceb-ae89-b08c50619665,48820.218,48820.875,48858.187,200
deb52d00-9b5e-43f6-a8aa-3b6585f38526,48858.187,48858.843,48896.531,200
4cf087f1-ff0f-4200-be35-ce657156a707,48896.546,48897.156,48917.14,200
04033917-2b07-4010-bf5c-3b28978a990c,48917.171,48917.75,48955.734,200
495c732c-2fc2-457f-b5e2-34146564b81c,48955.734,48956.312,48994.718,200
a3bf8d44-de9a-4275-8cff-cc4d1befbdd8,48683.828,48684.39,48719.828,200
32f6ff9b-dbab-4048-a8cc-671b0c8efa94,48719.875,48720.375,48756.843,200
19a7640d-9b36-40d9-a0ba-47497cc4a676,48756.89,48757.437,48760.421,200
10bbe6fb-2a60-4448-82d3-7f59cb8d895f,48760.421,48761.109,48797.609,200
bc23ecbb-8fdf-404e-9299-03e1f8414e60,48797.609,48798.312,48835.296,200
47aabbd5-455e-4857-a08b-12d4d0befdaf,48835.328,48835.812,48851.171,200
d007d529-38b0-4e97-82c0-f0691dd04610,48851.171,48851.796,48880.25,200
ecaf9e7f-43bc-4a6c-9952-e30edd6f5fd4,48880.281,48880.875,48918.906,200
c0e92e3f-a377-484e-b7ab-8d9008a44565,48918.906,48919.484,48957.484,200
d85d8d35-e8d0-468f-a9c3-932438743d86,48957.5,48958.078,48996.625,200
d35ab6f7-7b71-4bd2-a33f-3eb16b1aa08b,48683.828,48684.39,48719.828,200
4af2f41b-15bf-40a5-8bb2-516726581ec8,48719.89,48720.375,48756.843,200
5498774b-c7c0-4707-bb3b-14da43bc9909,48756.906,48757.437,48774.89,200
3aafc366-be41-478a-9ae4-a0ab9de18fda,48774.921,48775.515,48805.218,200
7bce7be6-9f1c-405f-985b-f9e5b56edfc2,48805.234,48805.796,48824.781,200
264bb5ab-73af-40fd-ad2e-12a3727ea8ac,48824.796,48825.437,48862.703,200
5c880195-e0d0-4fb4-80e9-f1abd657a05b,48862.718,48863.359,48881.765,200
a07cbc7f-6b26-4534-9c7c-db1f320f98c9,48881.781,48882.39,48920.375,200
f2d9e1f9-fbf2-4228-8a44-1c83bba7fcd4,48920.39,48920.968,48958.968,200
f59fb69f-0d31-4e36-a2db-fbc7bb529f48,48958.984,48959.562,48998.234,200
2535d5f1-f432-48e3-990f-3987bf7e7338,48683.796,48684.062,48700.156,200
eb30af80-7764-4631-a675-ac301b50009a,48700.171,48700.796,48711.453,200
7b617dc0-cf72-4ea9-8544-7500cea5f219,48711.468,48712.125,48746.796,200
724f1b06-6fcb-4ced-bc5f-0bad8f754f51,48746.812,48747.453,48782.781,200
e4054b70-d64b-4749-9b20-fc2ac9f5d23f,48782.796,48783.453,48819.875,200
45c373b7-07b8-4637-a725-b69f19588a73,48819.89,48820.546,48846.531,200
